Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Mean CV Score,CV Score Std
GradientBoosting,0.9102424900470503,0.8523479057055149,0.9102424900470503,0.8725712117488973,0.631346603982521,0.9420944847354453,0.21143372765485222
LightGBM,0.9120521172638436,0.8565406693190349,0.9120521172638436,0.8728509146876571,0.6281720586967622,0.943641541031105,0.21297655396341061
VotingClassifier,0.8624683315237062,0.8494423968706397,0.8624683315237062,0.8557670150311555,0.585842025343315,0.9180191964345049,0.07171947155909476
