Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg ROC AUC
Logistic Regression,0.627886212337682,0.1376249449915485,0.5613908872901678,0.22104012639385656,0.6335838959511433
Decision Tree,0.8281269085050585,0.11476442036869845,0.12269836304869149,0.11807906411572275,0.5120460802659863
SVM,0.7580786126762964,0.1562326684619748,0.3564591804817016,0.217215256976301,0.6373276070449672
KNN,0.9017104811067785,0.13999999999999999,0.007246376811594203,0.013738738738738737,0.5363052780995055
Random Forest,0.9059191176131931,0.0,0.0,0.0,0.6146118995846565
Gradient Boosting,0.9044257512658886,0.2833333333333333,0.011583776457095194,0.02224164724164724,0.6722470365603985
LightGBM,0.8770030609772836,0.18750494324987388,0.09097070169950995,0.12211242090222493,0.6276321594544522
