Nutrient,Mean (With Stones),Mean (Without Stones),t-statistic,p-value,Percentage Difference,Abs Percentage Difference
Alcohol (g),5.477475613360923,7.0601092765794995,-5.6263226617224635,1.8510074166263745e-08,-22.41656044147429,22.41656044147429
Calcium (mg),907.4747265740467,883.5719125787364,3.511836473495124,0.0004454245204440364,2.705248283136244,2.705248283136244
Total Water Intake (g),1236.76225539462,1207.4948274957053,1.8999370041142427,0.05744729103243429,2.423813935469539,2.423813935469539
Sodium (mg),3278.277712089861,3242.3532401221605,1.496890488885878,0.1344282392711961,1.107975266949842,1.107975266949842
Total Energy (kcal),1977.2224357079515,1998.2107510975377,-1.7687616878726455,0.07693991435742566,-1.050355443141228,1.050355443141228
Dietary Fiber (g),16.037171149866982,16.153533594197363,-0.9212453567182544,0.3569269085140967,-0.7203528791507294,0.7203528791507294
Protein (g),74.61122967780076,74.91241315136477,-0.5908879172052447,0.5545982658931268,-0.4020474857156865,0.4020474857156865
